baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed
ENSG00000196739,497.299996766065,1.39279050601928,0.304243717047633,4.5778776289445,4.69717325064458e-06,0.000249571654437325,Up-regulated
ENSG00000132622,108.297174494994,2.23221936067607,0.491513984463469,4.54151749743751,5.58507495220621e-06,0.000291368804455278,Up-regulated
ENSG00000089041,148.302687691752,1.81116816512366,0.404669966809525,4.47566736766548,7.61729997695446e-06,0.000388010430684512,Up-regulated
ENSG00000054938,83.878469015226,2.21021491647453,0.494587403287791,4.4688055170472,7.86576057131241e-06,0.000399488098663008,Up-regulated
ENSG00000171509,62.6637107117669,2.31351043351208,0.518180689722935,4.46467898050984,8.01888914779163e-06,0.000404883560830602,Up-regulated
ENSG00000137872,507.948278428036,1.20953603638694,0.272488555679117,4.43885077438369,9.04404926472751e-06,0.000453990240416612,Up-regulated
ENSG00000075240,790.663173477907,1.27470701405559,0.287631478366073,4.43173682274529,9.34770691409943e-06,0.000467873052152664,Up-regulated
ENSG00000119514,590.353920622761,1.17633915868184,0.266520625339328,4.41368902382003,1.01623906790308e-05,0.000502819949127518,Up-regulated
ENSG00000007237,345.673762648805,1.77572968146546,0.402426676924253,4.41255459264619,1.02158023620816e-05,0.000504018500538358,Up-regulated
ENSG00000176293,265.175555844391,1.38310383173592,0.313559881860978,4.41097191237348,1.02907667684568e-05,0.000506270542899466,Up-regulated
ENSG00000102524,114.174874936381,1.63443778975391,0.37143165903154,4.40037285463359,1.08065032325848e-05,0.000528630872012107,Up-regulated
ENSG00000080493,441.615499449298,1.06027724469481,0.241387757957808,4.39242343383517,1.12094112185839e-05,0.000545251022316922,Up-regulated
ENSG00000130513,728.933869761285,1.97171619484221,0.449606239362328,4.38542889804793,1.15757465904492e-05,0.00056126187015886,Up-regulated
ENSG00000133069,263.890360058806,1.2309472436023,0.280853546624014,4.38287947009694,1.17120916923959e-05,0.000563354872825325,Up-regulated
ENSG00000110900,456.809139410424,1.41929241151153,0.324325833830028,4.37613123429246,1.20804297842113e-05,0.000577852801977175,Up-regulated
ENSG00000196932,96.6079994805475,1.9139292024328,0.439191186245648,4.35784975284614,1.31346497991931e-05,0.00062481854747236,Up-regulated
ENSG00000129467,172.704452645704,1.84204449200932,0.422980032752013,4.35492068035582,1.3311511021641e-05,0.00062753243773174,Up-regulated
ENSG00000235513,108.935524836677,1.87500094639352,0.430949924418784,4.35085572627101,1.35607260657048e-05,0.000636322330713563,Up-regulated
ENSG00000070882,1771.39687959022,1.0301324497256,0.240210224781744,4.28846211963536,1.79914474185452e-05,0.000809052901102704,Up-regulated
ENSG00000155962,712.920477665711,1.04626428097102,0.244544643773882,4.27841830769537,1.88226045023706e-05,0.00084423047934269,Up-regulated
ENSG00000126878,192.743409877879,2.79498527648419,0.65425400021311,4.27201862819912,1.93711389741547e-05,0.000864343224304144,Up-regulated
ENSG00000267339,103.791460036799,2.87259764759102,0.674101341290676,4.26137358233254,2.03174272140231e-05,0.000899593161876284,Up-regulated
ENSG00000150594,59.1849436653528,2.4566180187991,0.577134653705199,4.25657687166702,2.075806846252e-05,0.000912284356154487,Up-regulated
ENSG00000196155,329.478683357296,1.49813367130868,0.352771845108091,4.24674954105153,2.16894185617095e-05,0.000945790100312119,Up-regulated
ENSG00000206561,74.7978756321694,1.96926922915631,0.465955508373619,4.22630314218174,2.37561909814585e-05,0.00101541881841467,Up-regulated
ENSG00000138135,62.5520795379125,2.15146096367301,0.508974497085271,4.22705062040184,2.3677441573682e-05,0.00101541881841467,Up-regulated
ENSG00000105516,150.524396797862,1.45180733436075,0.343953172392902,4.2209447415776,2.43280573171314e-05,0.00103727628086969,Up-regulated
ENSG00000166793,267.799006484016,1.31129660030153,0.31596494965708,4.15013311357699,3.32281978041804e-05,0.00136290859782087,Up-regulated
ENSG00000130487,24.6157914558606,4.02578231441051,0.973682187860526,4.13459583075703,3.55579856895448e-05,0.00144135046217619,Up-regulated
ENSG00000161682,414.38039077543,1.04212905548904,0.252417718417002,4.12858915778412,3.64995909172965e-05,0.00147260499056046,Up-regulated
ENSG00000049246,266.800977153232,1.75996547212116,0.426713782662694,4.12446361853834,3.71599721498963e-05,0.00149227534670793,Up-regulated
