baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed
ENSG00000163083,389.345900632805,-3.2045871693615,0.374662317812599,-8.55326788151776,1.19651774307667e-17,4.80499264824371e-15,Not Significant
ENSG00000136383,161.752981875345,-3.62561205679394,0.427946187038942,-8.47212141760247,2.40963773384949e-17,9.45673281548021e-15,Not Significant
ENSG00000156804,6718.5941144862,-1.59783495983934,0.190388351275768,-8.39250379097486,4.75896657105062e-17,1.82617410553116e-14,Not Significant
ENSG00000164647,2586.15259771749,-1.67207896206093,0.204252467291428,-8.18633421781489,2.69303201407803e-16,9.49046465695907e-14,Not Significant
ENSG00000196569,20721.5509236215,-2.00550526683449,0.24608728181183,-8.14956893370862,3.6522379759512e-16,1.26133690737451e-13,Not Significant
ENSG00000231246,133.377390287434,-3.42716667722954,0.432974534647958,-7.91540010549603,2.46459212481223e-15,8.34481898259952e-13,Not Significant
ENSG00000151726,1916.51584795878,-1.75137257460385,0.222184311095519,-7.88252134441178,3.2084018740175e-15,1.06543622231797e-12,Not Significant
ENSG00000187193,116.806547915224,-3.23649857463518,0.412839040420507,-7.83961364540179,4.51934779202036e-15,1.44518699393718e-12,Not Significant
ENSG00000148175,21876.1940461465,-1.44438225046009,0.187072557447813,-7.72097345631803,1.15444595170251e-14,3.5598165524998e-12,Not Significant
ENSG00000108551,277.170609084981,-2.5448384662363,0.333043213694665,-7.64116595562706,2.15263385190246e-14,6.40891057838823e-12,Not Significant
ENSG00000116962,16154.2761716177,-1.75063408768213,0.231813461969049,-7.55190864590886,4.28925319519325e-14,1.23444706957662e-11,Not Significant
ENSG00000134686,4535.16429723346,-1.38873909618411,0.185419833509578,-7.48970091224015,6.90307382295756e-14,1.95413571762018e-11,Not Significant
ENSG00000157510,759.128411843647,-1.83214369410803,0.246586383157375,-7.43002784926176,1.08574817173766e-13,2.97598403643904e-11,Not Significant
